ppm,magnitude_original,magnitude_denoised
-1.037549965633694e-06,4.6407485,1429.4136
-1.0373833444733224e-06,4.753126,1482.582
-1.037216723312951e-06,4.967389,1432.7063
-1.0370501021525793e-06,4.8457384,1504.3181
-1.0368834809922078e-06,3.9513178,1355.2091
-1.0367168598318361e-06,4.1141496,1428.7302
-1.0365502386714647e-06,4.812012,1447.8875
-1.036383617511093e-06,4.4349017,1424.4991
-1.0362169963507216e-06,5.1688232,1506.1158
-1.03605037519035e-06,3.5202935,1382.3036
-1.0358837540299784e-06,4.5074034,1421.9103
-1.035717132869607e-06,4.220382,1458.8937
-1.0355505117092353e-06,3.7661378,1372.9154
-1.0353838905488637e-06,4.676914,1480.0818
-1.0352172693884922e-06,3.6268728,1409.3076
-1.0350506482281205e-06,4.729316,1471.2144
-1.034884027067749e-06,4.897732,1457.9497
-1.0347174059073774e-06,3.7118514,1383.8276
-1.034550784747006e-06,4.6130304,1463.5438
-1.0343841635866343e-06,4.458878,1387.833
-1.0342175424262629e-06,4.5805798,1470.853
-1.0340509212658914e-06,4.0600057,1450.2026
-1.0338843001055197e-06,3.9329033,1376.2053
-1.033717678945148e-06,4.9127436,1552.3925
-1.0335510577847766e-06,4.763725,1420.6796
-1.033384436624405e-06,4.03021,1474.4065
-1.0332178154640335e-06,4.632134,1431.7738
-1.0330511943036618e-06,3.575733,1349.2593
-1.0328845731432904e-06,4.9201903,1512.3763
-1.0327179519829187e-06,3.7377367,1377.3303
-1.0325513308225473e-06,4.339705,1446.4248
-1.0323847096621758e-06,4.5256834,1472.2067
-1.0322180885018041e-06,3.948169,1375.217
-1.0320514673414327e-06,4.763288,1493.7028
-1.031884846181061e-06,4.461594,1341.3956
-1.0317182250206894e-06,4.06874,1394.4321
-1.031551603860318e-06,4.6181617,1467.8807
-1.0313849826999462e-06,4.4395742,1407.1812
-1.0312183615395748e-06,4.772801,1449.6005
-1.0310517403792031e-06,4.110962,1372.3462
-1.0308851192188317e-06,4.14066,1455.2002
-1.0307184980584602e-06,4.610119,1396.3201
-1.0305518768980885e-06,4.5226026,1414.6082
-1.030385255737717e-06,4.6134152,1516.7855
-1.0302186345773454e-06,3.877382,1367.6702
-1.0300520134169738e-06,4.539902,1417.2334
-1.0298853922566023e-06,4.26738,1409.6567
-1.0297187710962306e-06,4.1148777,1364.666
-1.0295521499358592e-06,4.992696,1424.8867
-1.0293855287754875e-06,3.4473312,1365.2804
-1.029218907615116e-06,4.1529875,1387.1707
-1.0290522864547446e-06,4.5265474,1336.2479
-1.028885665294373e-06,3.962091,1346.613
-1.0287190441340015e-06,4.652804,1422.7461
-1.0285524229736298e-06,4.4303927,1320.3256
-1.0283858018132584e-06,4.5647097,1414.421
-1.0282191806528867e-06,4.1271377,1362.2711
-1.028052559492515e-06,4.3413653,1345.2156
-1.0278859383321436e-06,4.9176264,1409.7301
-1.027719317171772e-06,4.1655383,1323.3007
-1.0275526960114005e-06,4.546942,1440.0808
-1.027386074851029e-06,3.9756567,1351.2383
-1.0272194536906574e-06,4.388808,1347.672
-1.027052832530286e-06,4.8127623,1429.383
-1.0268862113699142e-06,4.124504,1291.9084
-1.0267195902095428e-06,4.1917815,1365.2695
-1.0265529690491711e-06,4.7708235,1354.9723
-1.0263863478887995e-06,3.937884,1287.9895
-1.026219726728428e-06,4.388577,1341.0724
-1.0260531055680563e-06,3.8908725,1312.5867
-1.0258864844076849e-06,4.989189,1394.6461
-1.0257198632473134e-06,4.056521,1374.5847
-1.0255532420869418e-06,4.3149424,1305.4468
-1.0253866209265703e-06,3.9804654,1416.0321
-1.0252199997661986e-06,4.6082625,1275.9855
-1.0250533786058272e-06,3.9977214,1399.526
-1.0248867574454555e-06,4.236948,1384.7913
-1.024720136285084e-06,4.284858,1333.7079
-1.0245535151247124e-06,4.926275,1463.5549
-1.0243868939643407e-06,3.600163,1329.4539
-1.0242202728039693e-06,4.182265,1362.0745
-1.0240536516435978e-06,4.3033085,1396.433
-1.0238870304832262e-06,4.070744,1372.8049
-1.0237204093228547e-06,4.428051,1459.2296
-1.023553788162483e-06,4.0979223,1364.1702
-1.0233871670021116e-06,4.3945246,1400.1956
-1.02322054584174e-06,4.0747156,1391.9012
-1.0230539246813685e-06,4.143792,1365.8492
-1.0228873035209968e-06,4.454513,1418.6884
-1.0227206823606252e-06,3.835137,1378.8938
-1.0225540612002537e-06,4.2441473,1408.9082
-1.022387440039882e-06,4.330951,1391.4935
-1.0222208188795106e-06,4.2948804,1382.3612
-1.0220541977191391e-06,3.8914452,1417.5394
-1.0218875765587675e-06,3.9402125,1329.7751
-1.021720955398396e-06,4.082625,1421.7571
-1.0215543342380243e-06,3.8449988,1365.0801
