ppm,magnitude_original,magnitude_denoised
-1.0702077130665195e-06,2.1777909,1242.9404
-1.0700410919061478e-06,2.1372433,1176.4761
-1.0698744707457764e-06,1.1818429,396.07864
-1.0697078495854047e-06,3.1100993,1395.644
-1.0695412284250332e-06,1.9750987,955.08405
-1.0693746072646616e-06,1.7615703,673.4536
-1.0692079861042901e-06,3.2676787,1515.5979
-1.0690413649439187e-06,1.328912,755.82214
-1.068874743783547e-06,2.4281764,916.08325
-1.0687081226231755e-06,3.4621637,1557.1931
-1.0685415014628039e-06,0.63995063,527.8665
-1.0683748803024322e-06,2.810569,1149.5824
-1.0682082591420608e-06,2.8890722,1392.0787
-1.068041637981689e-06,0.1696763,235.38045
-1.0678750168213176e-06,2.7964666,1284.1644
-1.067708395660946e-06,2.3643303,1203.1193
-1.0675417745005745e-06,0.8121692,461.8443
-1.067375153340203e-06,2.5823271,1159.1587
-1.0672085321798314e-06,1.9866731,1056.9749
-1.06704191101946e-06,0.3492573,526.43604
-1.0668752898590883e-06,2.6153204,1118.0273
-1.0667086686987166e-06,2.2563615,1215.569
-1.0665420475383452e-06,0.5839945,303.81458
-1.0663754263779735e-06,2.8925295,1352.0242
-1.066208805217602e-06,2.4135685,1190.4447
-1.0660421840572304e-06,1.2154251,456.63013
-1.065875562896859e-06,3.4553034,1592.3171
-1.0657089417364875e-06,1.6780814,875.21594
-1.0655423205761158e-06,1.9281063,873.6299
-1.0653756994157444e-06,3.1514528,1414.4896
-1.0652090782553727e-06,1.0438825,530.39355
-1.0650424570950012e-06,2.5285707,1001.1371
-1.0648758359346296e-06,2.6877546,1108.6494
-1.064709214774258e-06,0.99714565,765.1681
-1.0645425936138865e-06,1.9210285,787.40857
-1.0643759724535148e-06,2.2607448,1160.3755
-1.0642093512931433e-06,1.7674118,901.4128
-1.0640427301327717e-06,1.5493577,707.5137
-1.0638761089724002e-06,2.8139515,1473.1556
-1.0637094878120288e-06,1.2605594,655.4569
-1.063542866651657e-06,2.0110812,1131.3488
-1.0633762454912856e-06,3.1678214,1592.7084
-1.063209624330914e-06,0.6536143,261.42422
-1.0630430031705423e-06,3.2419436,1426.1602
-1.0628763820101709e-06,2.8157303,1329.4801
-1.0627097608497992e-06,0.4072049,285.8377
-1.0625431396894277e-06,3.4209347,1516.3904
-1.062376518529056e-06,2.282877,1073.9066
-1.0622098973686846e-06,1.5250659,546.09644
-1.0620432762083132e-06,3.162051,1457.5262
-1.0618766550479415e-06,1.1171827,775.4358
-1.06171003388757e-06,1.6807337,780.81104
-1.0615434127271984e-06,2.6568,1310.2554
-1.061376791566827e-06,0.97798216,717.7775
-1.0612101704064553e-06,1.4813308,785.2507
-1.0610435492460836e-06,2.1654558,1106.3883
