ppm,magnitude_original,magnitude_denoised
-1.080204982688813e-06,2.7899795,2170.347
-1.0800383615284414e-06,0.71995765,817.9832
-1.07987174036807e-06,3.266234,2107.0156
-1.0797051192076982e-06,2.5460646,2155.7964
-1.0795384980473266e-06,0.75373906,681.7261
-1.0793718768869551e-06,3.4492052,2331.79
-1.0792052557265835e-06,2.6912773,2305.9524
-1.079038634566212e-06,0.9707042,489.81848
-1.0788720134058406e-06,3.8638906,2789.999
-1.0787053922454689e-06,2.326776,2043.2001
-1.0785387710850974e-06,1.8187118,1111.9143
-1.0783721499247258e-06,4.054152,2940.3718
-1.0782055287643543e-06,1.4977798,1403.4022
-1.0780389076039827e-06,2.6639147,1683.0966
-1.0778722864436112e-06,3.656165,2661.6978
-1.0777056652832395e-06,0.67113614,1052.0796
-1.0775390441228679e-06,2.7962167,1741.6832
-1.0773724229624964e-06,2.9772625,2353.51
-1.077205801802125e-06,0.8931917,1252.3236
-1.0770391806417533e-06,2.4640915,1634.0697
-1.0768725594813818e-06,2.7737703,2414.1729
-1.0767059383210102e-06,1.0365998,1144.7285
-1.0765393171606387e-06,2.4665282,1844.2653
-1.076372696000267e-06,3.0782335,2560.747
-1.0762060748398956e-06,0.64860207,823.5822
-1.076039453679524e-06,2.8407338,2171.554
-1.0758728325191523e-06,3.1651926,2483.6245
-1.0757062113587808e-06,0.27972627,716.5342
-1.0755395901984092e-06,3.4603057,2309.2979
-1.0753729690380377e-06,3.0558078,2300.106
-1.0752063478776663e-06,0.65666467,722.02155
-1.0750397267172946e-06,3.8214762,2492.5718
-1.0748731055569231e-06,2.643655,2200.4902
-1.0747064843965515e-06,1.4752653,791.1819
-1.07453986323618e-06,3.930371,2731.3228
-1.0743732420758083e-06,1.8645282,1870.3286
-1.074206620915437e-06,2.2418156,1248.5819
-1.0740399997550652e-06,3.6755974,2679.176
-1.0738733785946936e-06,1.1442592,1459.7565
-1.0737067574343221e-06,2.3590987,1498.6036
-1.0735401362739507e-06,3.107586,2377.7976
-1.073373515113579e-06,0.9821862,1503.4202
-1.0732068939532075e-06,2.2880032,1381.3082
-1.0730402727928359e-06,3.166691,2525.0444
-1.0728736516324644e-06,1.0455042,1523.6323
-1.0727070304720928e-06,2.5466871,1606.576
-1.0725404093117213e-06,3.4904122,2872.1184
-1.0723737881513498e-06,0.61335045,961.6888
-1.072207166990978e-06,3.2900188,2314.144
-1.0720405458306065e-06,3.308708,2735.5654
-1.071873924670235e-06,0.5853087,487.59195
-1.0717073035098634e-06,3.7366276,2587.5083
-1.071540682349492e-06,2.525013,2074.9229
-1.0713740611891203e-06,1.2620363,1072.2823
-1.0712074400287488e-06,3.396105,2256.2078
-1.0710408188683772e-06,1.8597766,1831.7802
-1.0708741977080057e-06,1.3829672,1245.8203
-1.0707075765476343e-06,2.9953701,2064.1345
-1.0705409553872626e-06,2.148704,2141.5906
-1.070374334226891e-06,1.0823634,832.97943
-1.0702077130665195e-06,3.2800078,2429.3691
-1.0700410919061478e-06,2.4065497,2136.7017
-1.0698744707457764e-06,1.3219396,872.39557
-1.0697078495854047e-06,3.960793,2744.4165
-1.0695412284250332e-06,1.984136,1763.6484
-1.0693746072646616e-06,2.2968354,1327.5167
-1.0692079861042901e-06,3.9753208,2705.1567
-1.0690413649439187e-06,1.1569597,1419.6167
-1.068874743783547e-06,3.2027833,1575.993
-1.0687081226231755e-06,3.7278657,2729.9575
-1.0685415014628039e-06,0.30278692,1190.7028
-1.0683748803024322e-06,3.3734508,1889.8422
-1.0682082591420608e-06,3.1513345,2682.3684
-1.068041637981689e-06,0.555641,735.36176
-1.0678750168213176e-06,3.2807293,2264.0847
-1.067708395660946e-06,2.3369014,2296.2104
-1.0675417745005745e-06,1.0352744,898.4881
-1.067375153340203e-06,2.9273915,2140.7085
-1.0672085321798314e-06,2.2687638,1970.9718
-1.06704191101946e-06,1.1367368,1197.8792
-1.0668752898590883e-06,2.7165956,1857.0709
-1.0667086686987166e-06,2.6063437,2359.5083
-1.0665420475383452e-06,0.5648956,821.0225
-1.0663754263779735e-06,3.198617,2334.7021
-1.066208805217602e-06,2.8388429,2540.8623
