ppm,magnitude_original,magnitude_denoised
-1.0493800680200747e-06,1.6213211,1903.2639
-1.049213446859703e-06,1.4245299,1126.848
-1.0490468256993315e-06,2.804497,2067.5037
-1.04888020453896e-06,1.8917542,2140.2966
-1.0487135833785884e-06,1.250054,867.23444
-1.048546962218217e-06,3.0962126,2310.2458
-1.0483803410578453e-06,2.2404249,2264.7537
-1.0482137198974736e-06,1.5399,696.6087
-1.0480470987371022e-06,3.9670827,2930.0332
-1.0478804775767305e-06,2.0539072,2072.8308
-1.047713856416359e-06,2.7232935,1416.9225
-1.0475472352559874e-06,4.367833,3308.6208
-1.047380614095616e-06,1.2204583,1264.5157
-1.0472139929352445e-06,3.7789385,2306.91
-1.0470473717748728e-06,3.7637093,2933.9077
-1.0468807506145014e-06,1.022418,336.55618
-1.0467141294541297e-06,4.023807,2580.4563
-1.046547508293758e-06,2.2225704,1936.2238
-1.0463808871333866e-06,1.7215233,1284.9352
-1.046214265973015e-06,2.6685126,1942.0948
-1.0460476448126435e-06,1.5843115,1754.5011
-1.0458810236522718e-06,1.7207736,1663.1426
-1.0457144024919003e-06,1.7898211,1350.801
-1.0455477813315289e-06,3.028405,2649.6155
-1.0453811601711572e-06,0.6344445,1064.7407
-1.0452145390107858e-06,3.282349,2236.6602
-1.0450479178504141e-06,3.5769453,2865.9446
-1.0448812966900427e-06,1.219693,206.18079
-1.044714675529671e-06,4.6088896,3066.6116
-1.0445480543692993e-06,2.9001338,2244.3276
-1.0443814332089279e-06,2.8533251,1286.0793
-1.0442148120485562e-06,4.6125946,2984.51
-1.0440481908881848e-06,1.4070088,1330.9149
-1.0438815697278133e-06,3.2170212,1755.6246
-1.0437149485674416e-06,3.5198698,2367.0527
-1.0435483274070702e-06,0.19433919,1245.0435
-1.0433817062466985e-06,2.9209409,1665.402
-1.043215085086327e-06,2.5456538,2149.0752
-1.0430484639259554e-06,0.99765193,1536.7094
-1.0428818427655837e-06,2.2410963,1390.1704
-1.0427152216052123e-06,2.5860684,2356.7537
-1.0425486004448406e-06,0.99955875,1527.2722
-1.0423819792844692e-06,2.3031318,1445.0614
-1.0422153581240977e-06,3.1873019,2716.042
